Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 9 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Southeastern States
Location name (ESRI Maps): Peachtree City, Georgia, USA
Station Name: -
Latitude: 33.3966 Degree
Longitude: -84.5900 Degree
Elevation (USGS): 873 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.403,0.465,0.569,0.657,0.782,0.880,0.981,1.08,1.23,1.34
10-min:, 0.590,0.681,0.833,0.962,1.14,1.29,1.44,1.59,1.80,1.96
15-min:, 0.719,0.830,1.02,1.17,1.40,1.57,1.75,1.94,2.19,2.38
30-min:, 1.04,1.20,1.48,1.70,2.03,2.28,2.54,2.81,3.17,3.45
60-min:, 1.36,1.57,1.92,2.23,2.67,3.03,3.40,3.80,4.34,4.77
2-hr:, 1.69,1.94,2.37,2.75,3.32,3.78,4.27,4.79,5.51,6.09
3-hr:, 1.90,2.17,2.65,3.08,3.72,4.26,4.84,5.46,6.35,7.06
6-hr:, 2.33,2.64,3.19,3.70,4.48,5.14,5.85,6.63,7.73,8.63
12-hr:, 2.85,3.21,3.87,4.46,5.36,6.11,6.92,7.79,9.03,10.0
24-hr:, 3.37,3.84,4.66,5.38,6.44,7.31,8.22,9.20,10.6,11.6
2-day:, 3.86,4.45,5.47,6.35,7.63,8.67,9.75,10.9,12.5,13.7
3-day:, 4.25,4.84,5.87,6.79,8.16,9.28,10.5,11.7,13.5,15.0
4-day:, 4.58,5.17,6.22,7.17,8.60,9.81,11.1,12.5,14.5,16.1
7-day:, 5.40,6.06,7.24,8.34,10.0,11.4,13.0,14.6,17.0,19.0
10-day:, 6.11,6.82,8.12,9.32,11.1,12.7,14.4,16.2,18.8,20.9
20-day:, 8.15,8.99,10.5,11.8,13.8,15.5,17.3,19.2,21.9,24.1
30-day:, 10.0,11.0,12.7,14.1,16.2,18.0,19.7,21.6,24.2,26.2
45-day:, 12.5,13.8,15.8,17.5,19.8,21.6,23.3,25.1,27.5,29.2
60-day:, 14.8,16.4,18.8,20.7,23.2,25.1,26.9,28.6,30.7,32.1

Date/time (GMT):  Fri May 15 01:02:57 2026
pyRunTime:  0.02597188949584961
